
2025/02/07 (10:44:07) | ===> btop++ v.1.4.0
2025/02/07 (10:44:07) | WARNING: Failed to join _runner thread on exit!

2025/02/07 (10:59:42) | ===> btop++ v.1.4.0
2025/02/07 (10:59:42) | WARNING: Failed to join _runner thread on exit!

2025/02/07 (11:00:02) | ===> btop++ v.1.4.0
2025/02/07 (11:00:02) | WARNING: Failed to join _runner thread on exit!

2025/02/07 (13:14:19) | ===> btop++ v.1.4.0
2025/02/07 (13:14:19) | WARNING: Failed to join _runner thread on exit!

2025/02/07 (13:14:36) | ===> btop++ v.1.4.0
2025/02/07 (13:14:36) | WARNING: Failed to join _runner thread on exit!

2025/02/07 (13:14:42) | ===> btop++ v.1.4.0
2025/02/07 (13:14:42) | WARNING: Failed to join _runner thread on exit!

2025/02/07 (13:14:44) | ===> btop++ v.1.4.0
2025/02/07 (13:14:44) | WARNING: Failed to join _runner thread on exit!

2025/02/07 (16:18:02) | ===> btop++ v.1.4.0
2025/02/07 (16:18:02) | WARNING: Failed to join _runner thread on exit!

2025/02/08 (14:26:46) | ===> btop++ v.1.4.0
2025/02/08 (14:26:46) | WARNING: Failed to join _runner thread on exit!

2025/02/09 (21:16:37) | ===> btop++ v.1.4.0
2025/02/09 (21:16:37) | WARNING: Failed to join _runner thread on exit!

2025/02/13 (09:21:56) | ===> btop++ v.1.4.0
2025/02/13 (09:21:56) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (09:21:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (09:21:56) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (09:21:56) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (09:21:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (09:22:16) | ===> btop++ v.1.4.0
2025/02/13 (09:22:16) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (09:22:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (09:22:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (09:22:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (09:22:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (10:35:15) | ===> btop++ v.1.4.0
2025/02/13 (10:35:15) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (10:35:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (10:35:15) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (10:35:15) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (10:35:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (10:35:18) | ===> btop++ v.1.4.0
2025/02/13 (10:35:18) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (10:35:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (10:35:18) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (10:35:18) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (10:35:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (13:28:19) | ===> btop++ v.1.4.0
2025/02/13 (13:28:19) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (13:28:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (13:28:19) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (13:28:19) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (13:28:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (14:31:34) | ===> btop++ v.1.4.0
2025/02/13 (14:31:34) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (14:31:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (14:31:34) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (14:31:34) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (14:31:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (15:01:27) | ===> btop++ v.1.4.0
2025/02/13 (15:01:27) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (15:01:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (15:01:27) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (15:01:27) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (15:01:27) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (15:50:53) | ===> btop++ v.1.4.0
2025/02/13 (15:50:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (15:50:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (15:50:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (15:50:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (15:50:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (15:54:59) | ===> btop++ v.1.4.0
2025/02/13 (15:54:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (15:54:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (15:54:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (15:54:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (15:54:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (15:55:00) | ===> btop++ v.1.4.0
2025/02/13 (15:55:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (15:55:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (15:55:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (15:55:00) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (15:55:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (15:55:01) | ===> btop++ v.1.4.0
2025/02/13 (15:55:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
